,store_id,date
0,72,1970-01-01 00:00:00.000000030
1,84,1970-01-01 00:00:00.000000030
2,97,1970-01-01 00:00:00.000000030
3,73,1970-01-01 00:00:00.000000030
4,53,1970-01-01 00:00:00.000000030
5,24,1970-01-01 00:00:00.000000030
6,65,1970-01-01 00:00:00.000000030
7,95,1970-01-01 00:00:00.000000030
8,39,1970-01-01 00:00:00.000000030
9,40,1970-01-01 00:00:00.000000030
10,47,1970-01-01 00:00:00.000000030
11,68,1970-01-01 00:00:00.000000030
12,100,1970-01-01 00:00:00.000000030
13,36,1970-01-01 00:00:00.000000030
14,75,1970-01-01 00:00:00.000000030
15,15,1970-01-01 00:00:00.000000030
16,78,1970-01-01 00:00:00.000000030
17,39,1970-01-01 00:00:00.000000030
18,33,1970-01-01 00:00:00.000000030
19,23,1970-01-01 00:00:00.000000030
20,41,1970-01-01 00:00:00.000000030
21,59,1970-01-01 00:00:00.000000030
22,51,1970-01-01 00:00:00.000000030
23,28,1970-01-01 00:00:00.000000030
24,80,1970-01-01 00:00:00.000000030
25,12,1970-01-01 00:00:00.000000030
26,83,1970-01-01 00:00:00.000000030
27,65,1970-01-01 00:00:00.000000030
28,61,1970-01-01 00:00:00.000000030
29,30,1970-01-01 00:00:00.000000030
30,22,1970-01-01 00:00:00.000000030
31,27,1970-01-01 00:00:00.000000030
32,19,1970-01-01 00:00:00.000000030
33,48,1970-01-01 00:00:00.000000030
34,96,1970-01-01 00:00:00.000000030
35,62,1970-01-01 00:00:00.000000030
36,65,1970-01-01 00:00:00.000000030
37,16,1970-01-01 00:00:00.000000030
38,72,1970-01-01 00:00:00.000000030
39,93,1970-01-01 00:00:00.000000030
40,99,1970-01-01 00:00:00.000000030
41,17,1970-01-01 00:00:00.000000030
42,16,1970-01-01 00:00:00.000000030
43,30,1970-01-01 00:00:00.000000030
44,86,1970-01-01 00:00:00.000000030
45,80,1970-01-01 00:00:00.000000030
46,68,1970-01-01 00:00:00.000000030
47,19,1970-01-01 00:00:00.000000030
48,40,1970-01-01 00:00:00.000000030
49,69,1970-01-01 00:00:00.000000030
50,21,1970-01-01 00:00:00.000000030
51,48,1970-01-01 00:00:00.000000030
52,88,1970-01-01 00:00:00.000000030
53,20,1970-01-01 00:00:00.000000030
54,82,1970-01-01 00:00:00.000000030
55,87,1970-01-01 00:00:00.000000030
56,22,1970-01-01 00:00:00.000000030
57,55,1970-01-01 00:00:00.000000030
58,69,1970-01-01 00:00:00.000000030
59,13,1970-01-01 00:00:00.000000030
60,75,1970-01-01 00:00:00.000000030
61,75,1970-01-01 00:00:00.000000030
62,87,1970-01-01 00:00:00.000000030
63,65,1970-01-01 00:00:00.000000030
64,87,1970-01-01 00:00:00.000000030
65,58,1970-01-01 00:00:00.000000030
66,90,1970-01-01 00:00:00.000000030
67,80,1970-01-01 00:00:00.000000030
68,51,1970-01-01 00:00:00.000000030
69,12,1970-01-01 00:00:00.000000030
70,85,1970-01-01 00:00:00.000000030
71,54,1970-01-01 00:00:00.000000030
72,53,1970-01-01 00:00:00.000000030
73,95,1970-01-01 00:00:00.000000030
74,75,1970-01-01 00:00:00.000000030
75,19,1970-01-01 00:00:00.000000030
76,35,1970-01-01 00:00:00.000000030
77,97,1970-01-01 00:00:00.000000030
78,70,1970-01-01 00:00:00.000000030
79,81,1970-01-01 00:00:00.000000030
80,11,1970-01-01 00:00:00.000000030
81,96,1970-01-01 00:00:00.000000030
82,58,1970-01-01 00:00:00.000000030
83,32,1970-01-01 00:00:00.000000030
84,53,1970-01-01 00:00:00.000000030
85,78,1970-01-01 00:00:00.000000030
86,82,1970-01-01 00:00:00.000000030
87,17,1970-01-01 00:00:00.000000030
88,87,1970-01-01 00:00:00.000000030
89,57,1970-01-01 00:00:00.000000030
90,71,1970-01-01 00:00:00.000000030
91,47,1970-01-01 00:00:00.000000030
92,57,1970-01-01 00:00:00.000000030
93,79,1970-01-01 00:00:00.000000030
94,31,1970-01-01 00:00:00.000000030
95,42,1970-01-01 00:00:00.000000030
96,76,1970-01-01 00:00:00.000000030
97,21,1970-01-01 00:00:00.000000030
98,25,1970-01-01 00:00:00.000000030
99,36,1970-01-01 00:00:00.000000030
